stop_id,stop_name,stop_lat,stop_lon
70126,Allston Street,42.348649,-71.137881
170140,Amory Street,42.350901,-71.114318
170136,Babcock Street,42.351538,-71.119553
70148,Blandford Street,42.349165,-71.099821
70134,Packard's Corner,42.351891,-71.125067
70144,Boston University Central,42.350013,-71.106902
70146,Boston University East,42.349659,-71.103989
70112,Chestnut Hill Avenue,42.33873,-71.152526
70114,Chiswick Road,42.340808,-71.150633
70128,Griggs Street,42.348747,-71.1345
70067,Harvard,42.373362,-71.118956
70106,Boston College,42.340149,-71.167029
70110,South Street,42.339371,-71.157057
70116,Sutherland Road,42.341589,-71.146089
70120,Washington Street,42.344329,-71.142385
70124,Warren Street,42.348285,-71.140436
